Process Size,TDP,Die Size,Transistors,FP32 GFLOPS,Foundry_GF,Foundry_IBM,Foundry_Intel,Foundry_NEC,Foundry_Renesas,Foundry_Samsung,Foundry_Sony,Foundry_TSMC,Foundry_UMC,Foundry_Unknown,Vendor_AMD,Vendor_ATI,Vendor_Intel,Vendor_NVIDIA,Vendor_Other
2.70805020110221,3.258096538021482,4.890349128221754,8.101980731853192,1177.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.875197323201151,4.486094566778884,5.318748607652908,7.8062658620924665,12.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4.02535169073515,3.044522437723423,4.30406509320417,5.493061443340548,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4.394449154672439,5.303304908059076,6.042632833682381,6.580639137284949,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4.189654742026425,3.044522437723423,4.976733742420574,5.752572638825633,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.70805020110221,2.772588722239781,5.318748607652908,7.8062658620924665,460.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.713572066704308,3.5263605246161616,4.990432586778736,6.78105762593618,176.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.1354942159291497,3.828641396489095,5.318748607652908,7.8062658620924665,136.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.367295829986474,4.875197323201151,5.68697535633982,8.172164452111904,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.70805020110221,2.772588722239781,5.318748607652908,7.8062658620924665,768.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.713572066704308,3.58351893845611,5.476463551931511,7.065613363597717,328.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.367295829986474,3.258096538021482,4.709530201312334,7.072421900537371,153.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.02535169073515,3.4339872044851463,4.990432586778736,6.244166900663736,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4.51085950651685,5.147494476813453,6.184148890937483,6.525029657843462,345.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
